Date,Category,Amount,Type,Description
2024-01-02,Product Sales,15500.00,Income,Electronics sales batch
2024-01-03,Product Sales,8200.00,Income,Furniture sales
2024-01-04,Salaries,12000.00,Expense,Monthly payroll - Week 1
2024-01-05,Rent,4500.00,Expense,Office space rent
2024-01-06,Product Sales,22000.00,Income,Electronics and accessories
2024-01-07,Utilities,850.00,Expense,Electricity and water
2024-01-08,Marketing,2500.00,Expense,Digital advertising
2024-01-09,Product Sales,18500.00,Income,Mixed product sales
2024-01-10,Supplies,680.00,Expense,Office supplies
2024-01-11,Salaries,12000.00,Expense,Monthly payroll - Week 2
2024-01-12,Product Sales,25000.00,Income,Large electronics order
2024-01-13,Consulting,3500.00,Income,IT consulting services
2024-01-14,Insurance,1200.00,Expense,Business insurance premium
2024-01-15,Product Sales,19800.00,Income,Regular sales
2024-01-16,Marketing,1800.00,Expense,Social media campaigns
2024-01-17,Product Sales,16500.00,Income,Furniture and electronics
2024-01-18,Salaries,12000.00,Expense,Monthly payroll - Week 3
2024-01-19,Maintenance,950.00,Expense,Equipment maintenance
2024-01-20,Product Sales,28000.00,Income,Weekend sale event
2024-01-21,Consulting,4200.00,Income,Business consulting
2024-01-22,Supplies,520.00,Expense,Packaging materials
2024-01-23,Product Sales,21500.00,Income,Regular sales
2024-01-24,Software,890.00,Expense,Software subscriptions
2024-01-25,Salaries,12000.00,Expense,Monthly payroll - Week 4
2024-01-26,Product Sales,32000.00,Income,Month-end promotions
2024-01-27,Marketing,3200.00,Expense,Print advertising
2024-01-28,Product Sales,24500.00,Income,Electronics sales
2024-01-29,Utilities,920.00,Expense,Internet and phone
2024-01-30,Consulting,2800.00,Income,Technical support services
2024-01-31,Product Sales,35000.00,Income,End of month clearance
2024-02-01,Salaries,12500.00,Expense,Monthly payroll - Week 1
2024-02-02,Rent,4500.00,Expense,Office space rent
2024-02-03,Product Sales,18000.00,Income,New month sales
2024-02-04,Marketing,2800.00,Expense,Email marketing platform
2024-02-05,Product Sales,26500.00,Income,Valentine's promotions start
2024-02-06,Supplies,750.00,Expense,Office supplies
2024-02-07,Product Sales,29000.00,Income,Special promotions
2024-02-08,Salaries,12500.00,Expense,Monthly payroll - Week 2
2024-02-09,Insurance,1200.00,Expense,Liability insurance
2024-02-10,Product Sales,31500.00,Income,Weekend sales
2024-02-11,Consulting,5500.00,Income,IT infrastructure consulting
2024-02-12,Maintenance,1100.00,Expense,HVAC maintenance
2024-02-13,Product Sales,38000.00,Income,Valentine's Day sales
2024-02-14,Product Sales,45000.00,Income,Valentine's Day peak
2024-02-15,Salaries,12500.00,Expense,Monthly payroll - Week 3
2024-02-16,Marketing,4500.00,Expense,Valentine's campaign
2024-02-17,Product Sales,22000.00,Income,Post-holiday sales
2024-02-18,Utilities,880.00,Expense,Electricity and water
2024-02-19,Product Sales,19500.00,Income,Regular sales
2024-02-20,Software,1250.00,Expense,CRM subscription
2024-02-21,Consulting,3800.00,Income,Business strategy consulting
2024-02-22,Salaries,12500.00,Expense,Monthly payroll - Week 4
2024-02-23,Product Sales,27000.00,Income,Weekend promotions
2024-02-24,Supplies,620.00,Expense,Cleaning supplies
2024-02-25,Product Sales,24000.00,Income,Regular sales
2024-02-26,Marketing,2200.00,Expense,SEO services
2024-02-27,Product Sales,28500.00,Income,End of month push
2024-02-28,Utilities,950.00,Expense,Internet and phone
2024-02-29,Product Sales,33000.00,Income,Leap day special
2024-03-01,Salaries,13000.00,Expense,Monthly payroll - Week 1
2024-03-02,Rent,4500.00,Expense,Office space rent
2024-03-03,Product Sales,21000.00,Income,Spring collection launch
2024-03-04,Marketing,3500.00,Expense,Spring campaign
2024-03-05,Product Sales,35000.00,Income,Spring sale
2024-03-06,Supplies,890.00,Expense,Office supplies
2024-03-07,Consulting,4800.00,Income,IT audit services
2024-03-08,Salaries,13000.00,Expense,Monthly payroll - Week 2
2024-03-09,Product Sales,42000.00,Income,Weekend promotion
2024-03-10,Insurance,1200.00,Expense,Property insurance
2024-03-11,Product Sales,38500.00,Income,Strong sales day
2024-03-12,Maintenance,780.00,Expense,Equipment repairs
2024-03-13,Product Sales,29000.00,Income,Mid-week sales
2024-03-14,Software,1500.00,Expense,Analytics tools
2024-03-15,Salaries,13000.00,Expense,Monthly payroll - Week 3
